,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201
layer_0,0.999999994,0.99862996,0.97143902,0.949249197,0.931300036,0.917477402,0.905436678,0.895301964,0.885490159,0.876362546,0.868415989,0.861250373,0.854400083,0.848893605,0.843179294,0.838347703,0.8336594,0.829762368,0.826126804,0.822793576,0.819757272,0.817041228
layer_1,0.999999994,0.996623324,0.948940395,0.916093964,0.895850676,0.878615841,0.863319306,0.850518116,0.839635371,0.829804563,0.820635004,0.811789389,0.80450804,0.797611896,0.790661168,0.785089209,0.780632766,0.77568657,0.771716078,0.767673837,0.764531581,0.762104705
layer_2,0.999999994,0.994344207,0.907811513,0.863419824,0.83962733,0.820501001,0.803848108,0.790182176,0.778655794,0.7678281,0.757940018,0.748374645,0.740652329,0.734082698,0.727566911,0.721226441,0.717097859,0.711734275,0.708080542,0.704549652,0.701598762,0.698708483
layer_3,0.999999994,0.988505584,0.865553182,0.814483222,0.791121159,0.772919107,0.756369344,0.744746408,0.733682126,0.723450285,0.715265994,0.70695681,0.700116255,0.695002275,0.688964981,0.683879985,0.679443171,0.674896059,0.67190451,0.669219775,0.666364665,0.664513206
layer_4,0.999999994,0.983679867,0.832029399,0.772103715,0.747815964,0.729058131,0.712315751,0.70101417,0.690329772,0.68145002,0.673094072,0.666199544,0.660822911,0.65604195,0.650621811,0.646236114,0.642110029,0.637841161,0.63559948,0.632966103,0.630324193,0.628409394
layer_5,0.999999994,0.97921693,0.796734017,0.732260101,0.707414624,0.690003935,0.675259981,0.664779836,0.654782156,0.646330822,0.639433332,0.633148055,0.627247603,0.623607727,0.618652809,0.614707818,0.612150445,0.6072128,0.604896178,0.60262692,0.600166726,0.597881509
layer_6,0.999999993,0.971184007,0.760595202,0.696671148,0.674795313,0.659898806,0.645594907,0.636219648,0.627595684,0.62114559,0.615851135,0.609618801,0.604236384,0.60115622,0.596669536,0.593357211,0.590371384,0.586987752,0.584551229,0.582086635,0.579715133,0.577280191
layer_7,0.999999993,0.965567075,0.714673711,0.649769781,0.632078401,0.622345245,0.613062152,0.608133469,0.60301965,0.598106782,0.594540436,0.589963793,0.585423061,0.582382216,0.578177162,0.574839669,0.572108163,0.569315424,0.566946662,0.564433634,0.562244249,0.560142545
layer_8,0.999999993,0.957106571,0.676374011,0.620749982,0.611283543,0.605209696,0.599137845,0.59636968,0.59130079,0.587188234,0.583313378,0.578526736,0.574841695,0.571488543,0.5671375,0.563581654,0.560152715,0.556892237,0.553830701,0.550865998,0.548099222,0.546004299
layer_9,0.999999992,0.946328159,0.648734036,0.601077391,0.592395503,0.589101456,0.584334402,0.582052981,0.577482798,0.573498679,0.570180456,0.565675204,0.56207153,0.55872227,0.554828878,0.550597881,0.546872682,0.543884774,0.541528667,0.538541034,0.535497742,0.533070176
layer_10,0.999999992,0.935688814,0.628693077,0.585294451,0.575682903,0.571857742,0.567710312,0.564727426,0.559989575,0.555282715,0.552312089,0.547171571,0.543861029,0.540240387,0.535820675,0.531704005,0.528266801,0.524774413,0.522106472,0.51916273,0.515930607,0.51360241
layer_11,0.999999992,0.925099333,0.615804251,0.573794732,0.562368344,0.557958027,0.552841463,0.548945645,0.543615307,0.539479169,0.53440595,0.529611285,0.525365079,0.521268762,0.516867834,0.512063832,0.508476898,0.503983875,0.500678782,0.497851992,0.494359722,0.491698515
layer_12,0.999999992,0.911953191,0.607449943,0.567107566,0.556065643,0.549983783,0.543380753,0.538472671,0.532150171,0.526831465,0.520710562,0.515146745,0.510957147,0.506325573,0.501173856,0.496301878,0.491561542,0.486420484,0.482071046,0.479331427,0.47446431,0.471766652
