,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201
layer_0,0.999999996,0.998750824,0.976612799,0.943291283,0.925033522,0.909980855,0.896757571,0.883903646,0.872296842,0.861552743,0.851390963,0.84257564,0.834581525,0.827358357,0.819919526,0.813478795,0.807473758,0.802826806,0.797764172,0.7934364,0.789493794,0.786304296
layer_1,0.999999996,0.997274607,0.963381448,0.914441337,0.89008147,0.872427682,0.855292178,0.839966225,0.827389143,0.815368844,0.804443292,0.794717628,0.785597218,0.777183533,0.769563697,0.762840576,0.756488827,0.750987555,0.744946897,0.74073905,0.736373476,0.732971081
layer_2,0.999999996,0.993289164,0.944738111,0.875222052,0.8498739,0.828611702,0.810250272,0.793195931,0.779200531,0.767054371,0.755056155,0.744655091,0.735973622,0.727401491,0.719998753,0.712859434,0.707016247,0.700843529,0.695821229,0.691798539,0.687441799,0.683705376
layer_3,0.999999996,0.991830101,0.925626531,0.828285143,0.797271909,0.771972455,0.750204,0.732426889,0.717827593,0.704877991,0.694040672,0.684767201,0.676001411,0.668338264,0.661913015,0.655180295,0.650275946,0.644146009,0.63994367,0.63686066,0.632978398,0.630357411
layer_4,0.999999996,0.988054333,0.90741081,0.791120758,0.759222834,0.732937284,0.711116339,0.694061795,0.679524958,0.666883954,0.656222435,0.64744106,0.640121705,0.632552652,0.626927147,0.621012004,0.616710589,0.610894858,0.607152423,0.603597141,0.600170604,0.597380002
layer_5,0.999999995,0.984696421,0.889581261,0.757662005,0.726448707,0.700945661,0.680798562,0.664933343,0.651668725,0.639543811,0.630052515,0.621752179,0.614994681,0.608413325,0.603346236,0.598077843,0.593962916,0.588996009,0.585195456,0.581946789,0.5787093,0.575593212
layer_6,0.999999995,0.980206479,0.870419992,0.724088921,0.691420657,0.668873092,0.650105455,0.636160503,0.624029957,0.614273789,0.606459445,0.600425874,0.594524833,0.588718992,0.585290117,0.579990163,0.576806749,0.572264941,0.569051381,0.565791533,0.562648562,0.560014621
layer_7,0.999999995,0.974909818,0.852106239,0.682024594,0.651618682,0.633591421,0.619786208,0.610338112,0.603576677,0.596142606,0.591457315,0.587194905,0.583447684,0.579337089,0.576832436,0.572364483,0.56968286,0.565860924,0.563574331,0.560574675,0.558118383,0.555091487
layer_8,0.999999995,0.968255819,0.830697722,0.652852852,0.630984133,0.619922374,0.609810607,0.603216493,0.599450532,0.5939793,0.590383693,0.58642493,0.583532764,0.579496256,0.576610082,0.572669368,0.569841093,0.566112714,0.563523065,0.561018178,0.557663258,0.555444958
layer_9,0.999999994,0.964093962,0.810899839,0.63426584,0.614636143,0.60569243,0.597865595,0.592625577,0.589180694,0.584862159,0.582663436,0.578883093,0.577039566,0.573503908,0.570295571,0.56626186,0.563543712,0.559919761,0.557978977,0.555037042,0.55180973,0.549545356
layer_10,0.999999994,0.95616762,0.796563458,0.617211134,0.598860262,0.592023244,0.58622261,0.582639493,0.579290213,0.576047323,0.573893288,0.570309798,0.567828473,0.564517261,0.561257274,0.557963307,0.554635537,0.551669905,0.548728507,0.546134381,0.54294651,0.540327918
layer_11,0.999999994,0.950389059,0.782666179,0.606953539,0.586603381,0.579276633,0.573218346,0.570067885,0.566660877,0.562777964,0.560292652,0.555703574,0.552762157,0.549133221,0.545850006,0.541923648,0.538357134,0.534669546,0.531356487,0.528639921,0.5245912,0.522453624
layer_12,0.999999993,0.941672556,0.773354197,0.601543138,0.580022777,0.571096329,0.563900528,0.560315663,0.555849039,0.550656579,0.54691901,0.541981383,0.53760312,0.533247175,0.529525932,0.524455588,0.520650845,0.516232958,0.51221747,0.509258071,0.50467915,0.50215961
