,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201
layer_0,0.999999988,0.999713275,0.994894171,0.988617581,0.978050901,0.966691341,0.959627762,0.953100413,0.946775992,0.940713573,0.934646679,0.929184895,0.923359052,0.91772335,0.912084689,0.906742408,0.901609615,0.896829503,0.89202734,0.887567992,0.883277757,0.879248225
layer_1,0.999999985,0.999309452,0.991744985,0.982966467,0.963984714,0.948019761,0.937622606,0.928717823,0.920935315,0.913009238,0.905448434,0.897573951,0.889979756,0.882754797,0.875531519,0.868556195,0.861934546,0.85546155,0.849575223,0.843603246,0.838120622,0.832715009
layer_2,0.999999983,0.999425503,0.988423205,0.975016707,0.941715307,0.915701209,0.900953479,0.889754676,0.879534998,0.869857646,0.860804156,0.85096501,0.84143601,0.832905401,0.823673931,0.815081494,0.806817446,0.799138216,0.791335881,0.78374103,0.776752508,0.770353091
layer_3,0.99999998,0.998288916,0.981987309,0.959348801,0.897449534,0.854722998,0.832820175,0.817375347,0.8037735,0.791899078,0.781670338,0.770520646,0.760372882,0.751454835,0.742010361,0.733016215,0.724504764,0.716556829,0.708711469,0.701333088,0.694712309,0.688349213
layer_4,0.999999978,0.998424362,0.972808936,0.941750329,0.849617395,0.79148452,0.761443185,0.741838678,0.725796049,0.713060508,0.702605786,0.690867589,0.68082279,0.672594085,0.663600804,0.655311628,0.647221886,0.639655468,0.632898736,0.626016005,0.620061171,0.614402634
layer_5,0.999999975,0.997220911,0.96127743,0.917291833,0.797151531,0.730316918,0.698605069,0.6780778,0.660747797,0.647439521,0.637131129,0.625067686,0.614845639,0.607390525,0.598414805,0.590574606,0.583232466,0.576183262,0.570426612,0.564069053,0.558786441,0.55392289
layer_6,0.999999971,0.996014507,0.945524397,0.885941035,0.738684924,0.668296641,0.637087641,0.617116453,0.600893976,0.588041812,0.578684865,0.567775337,0.558995952,0.552720756,0.544473875,0.538360736,0.532052842,0.526270841,0.521458112,0.516156438,0.511930125,0.508162914
layer_7,0.999999968,0.99621372,0.925995649,0.847854348,0.674877307,0.602756809,0.573543911,0.554984009,0.540568457,0.529578637,0.521510873,0.512153341,0.504991732,0.499973179,0.493285282,0.488305664,0.483600878,0.479156194,0.475444912,0.471277865,0.467974981,0.46531556
layer_8,0.999999964,0.99450078,0.903355175,0.8050319,0.613753048,0.554001027,0.530657718,0.515669542,0.504083183,0.495359282,0.489150996,0.482107374,0.476534179,0.473031028,0.468444802,0.464523705,0.461171389,0.457625563,0.454698868,0.451732642,0.449344748,0.447070565
layer_9,0.99999996,0.995210192,0.876500548,0.767725123,0.573437077,0.519039231,0.498161226,0.485387269,0.475319874,0.467925129,0.462410034,0.456929125,0.452071368,0.449053108,0.445360823,0.441856839,0.438989455,0.435870717,0.43330442,0.430630304,0.428521504,0.426239485
layer_10,0.999999958,0.994421335,0.85234369,0.732123798,0.537222713,0.489017489,0.471103276,0.460244404,0.451746872,0.445604726,0.441022263,0.436256504,0.432315971,0.429638363,0.426553228,0.423263692,0.421065721,0.417907695,0.415627614,0.413316351,0.411108845,0.408979362
layer_11,0.999999954,0.993818971,0.829470702,0.706328823,0.517807133,0.474782429,0.45786586,0.447470915,0.439256286,0.432927546,0.428156725,0.423432737,0.419280286,0.416476086,0.413225863,0.409816396,0.407534144,0.4039416,0.401556587,0.399100701,0.396818403,0.394454174
layer_12,0.999999949,0.992203933,0.812811393,0.690940437,0.507125058,0.468343186,0.452244701,0.441841404,0.433166271,0.426402969,0.421190367,0.416316803,0.411593179,0.408403492,0.404907255,0.400951744,0.398552843,0.394572364,0.391911189,0.388998267,0.386452336,0.383746308
