,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201,epoch_211,epoch_221,epoch_231,epoch_241,epoch_251,epoch_261,epoch_271,epoch_281,epoch_291,epoch_301,epoch_311,epoch_321,epoch_331,epoch_341,epoch_351,epoch_361,epoch_371,epoch_381,epoch_391,epoch_401,epoch_411,epoch_421,epoch_431,epoch_441,epoch_451,epoch_461,epoch_471,epoch_481,epoch_491,epoch_501
layer_0,0.999999997,0.998961729,0.983509976,0.963842952,0.942837309,0.917397822,0.89886411,0.885455651,0.873397066,0.860588069,0.848173682,0.836566246,0.825491668,0.815089859,0.805289519,0.796208398,0.786998311,0.778708515,0.770731289,0.763557604,0.756868001,0.750334598,0.744130913,0.738509035,0.733144581,0.728243898,0.723697631,0.719283694,0.714900806,0.710942046,0.707312784,0.70403641,0.700834633,0.697992288,0.6952869,0.692680503,0.690296069,0.688091189,0.686039528,0.684251768,0.682659577,0.681220244,0.679933034,0.678779905,0.677786098,0.67690924,0.676211293,0.675606706,0.675153752,0.674832245,0.67465593,0.674604092
layer_1,0.999999996,0.998848377,0.98152287,0.961392346,0.936986687,0.908133649,0.888734152,0.875429011,0.862515994,0.850414718,0.838116118,0.826332946,0.815256578,0.80461023,0.794881908,0.785375691,0.776589288,0.768272541,0.760496621,0.753090598,0.745988935,0.739261951,0.733259101,0.72775149,0.722180589,0.717120524,0.712445073,0.707938361,0.703765164,0.699839886,0.69631784,0.692982719,0.689838885,0.686934148,0.684321666,0.681825408,0.67947865,0.677409064,0.67544425,0.67363915,0.672089102,0.670689475,0.669448749,0.668288095,0.667355792,0.666478152,0.665782664,0.665220564,0.664774963,0.664461251,0.664285022,0.664235355
layer_2,0.999999996,0.997758871,0.978978967,0.956533871,0.928531609,0.89677724,0.87644632,0.861904642,0.848193112,0.835125631,0.822336927,0.8098349,0.798679009,0.787351659,0.777474888,0.768191313,0.759262588,0.750611029,0.742519391,0.735187114,0.727784199,0.721367842,0.715590119,0.709946799,0.704623554,0.699773952,0.695153168,0.690706109,0.686567256,0.682957989,0.679343662,0.676007277,0.673069541,0.670334328,0.667705681,0.665202371,0.662891908,0.660694865,0.658787578,0.657039521,0.655448672,0.653974045,0.6527949,0.651729245,0.650679538,0.649830724,0.649112677,0.64855836,0.648061432,0.647770909,0.647609042,0.647555226
layer_3,0.999999996,0.99844592,0.977235414,0.951422694,0.919319023,0.881819271,0.858147648,0.842512035,0.82807216,0.814511415,0.801777685,0.789398774,0.777660358,0.766609396,0.756548566,0.746707501,0.737762302,0.729354195,0.721507103,0.714208057,0.707653407,0.701050693,0.695508189,0.689658716,0.684529269,0.679861272,0.675414451,0.671180025,0.667260882,0.66382511,0.660428767,0.657167129,0.654361065,0.651883775,0.649331266,0.64715507,0.644976031,0.64302456,0.641253751,0.639676612,0.638201019,0.636829076,0.635622347,0.63461692,0.633642998,0.632902211,0.632208899,0.631700874,0.631202226,0.630894503,0.630761342,0.630707571
layer_4,0.999999996,0.997351423,0.974044756,0.944340882,0.905449057,0.863212778,0.837192616,0.820530319,0.805785741,0.791472444,0.777600259,0.764650247,0.752333854,0.741303419,0.730491733,0.721185695,0.711816956,0.703457525,0.695723087,0.688624555,0.682410075,0.676136253,0.670564583,0.664907039,0.660141564,0.655650704,0.65147325,0.647518151,0.643761201,0.64049546,0.63749735,0.634412183,0.631875633,0.62955296,0.62700997,0.625050012,0.623061393,0.621309247,0.61953903,0.618252993,0.616911339,0.615615261,0.614542173,0.613508538,0.612589133,0.611921218,0.611262144,0.610846775,0.610413979,0.610118713,0.610020409,0.609967267
layer_5,0.999999996,0.997178772,0.969683738,0.931529129,0.886936299,0.840823614,0.813907296,0.795474727,0.780467776,0.76545195,0.751443796,0.738273172,0.725800636,0.715145532,0.704646873,0.69514777,0.686257443,0.678232187,0.670449687,0.663523398,0.657736346,0.651574629,0.646510539,0.641516958,0.637374864,0.633317376,0.629467198,0.625449849,0.62214884,0.618875093,0.615977469,0.613313524,0.610949756,0.608813076,0.606390353,0.604880859,0.602955752,0.601406862,0.599847989,0.598654861,0.597456051,0.596252328,0.595164881,0.594284793,0.593366333,0.592904169,0.592214651,0.59189943,0.591556504,0.591290086,0.591200674,0.591168327
layer_6,0.999999996,0.996758642,0.961369084,0.916863471,0.862350779,0.809296166,0.776166814,0.755093189,0.7384826,0.722326282,0.708621432,0.696176407,0.684496272,0.674355995,0.665587432,0.657545359,0.650202025,0.643540748,0.637931823,0.63229571,0.627815029,0.623620673,0.619638979,0.615851178,0.612907354,0.60963265,0.607047796,0.604203255,0.602066235,0.59965052,0.597809004,0.59589374,0.594136168,0.592741225,0.590973269,0.590075101,0.589063102,0.587863311,0.586680043,0.586014481,0.585012239,0.584466808,0.583770594,0.583038844,0.58243093,0.582277683,0.581694868,0.581585833,0.581354557,0.581132277,0.58111445,0.58112042
layer_7,0.999999995,0.995301023,0.952908576,0.903478815,0.8377567,0.779776616,0.747091475,0.727116357,0.711639466,0.696576407,0.684881271,0.674075398,0.664198283,0.655997202,0.648757223,0.642386946,0.636684197,0.631087204,0.626931834,0.62275396,0.619490192,0.61595041,0.613265052,0.610370017,0.608359846,0.606003325,0.604109837,0.602064506,0.600712986,0.598927003,0.597401028,0.596026634,0.594803401,0.59388799,0.592815066,0.592397327,0.591505427,0.590877878,0.590047372,0.58971408,0.588837497,0.588367353,0.587871795,0.587466668,0.587081179,0.586957384,0.586603058,0.586585832,0.586517897,0.586301783,0.586319632,0.586349484
layer_8,0.999999995,0.995528592,0.943600087,0.889154405,0.819786932,0.756986598,0.725646778,0.707138684,0.690894826,0.677274714,0.666471377,0.656518824,0.647417861,0.640157397,0.634040759,0.628580577,0.62357138,0.619011959,0.615402432,0.611682729,0.608914302,0.605972687,0.603926053,0.601558463,0.600101774,0.598084872,0.596690461,0.595151496,0.594249197,0.592577814,0.591442055,0.590318381,0.589328997,0.588329357,0.587446322,0.587188385,0.586401216,0.585846309,0.58509765,0.584786302,0.584032872,0.583663914,0.583243277,0.582914393,0.582506404,0.582481521,0.582199997,0.582073328,0.582079221,0.581906513,0.581908953,0.581946872
layer_9,0.999999995,0.994419222,0.93602967,0.878089244,0.804598728,0.738599526,0.70600517,0.687331774,0.672128764,0.658578769,0.647909098,0.638337075,0.629633069,0.623336424,0.617736004,0.612720088,0.608358078,0.604645943,0.601738069,0.598668951,0.596589551,0.594147736,0.592681026,0.59070369,0.589297455,0.587636673,0.586391795,0.584897942,0.584512105,0.583007807,0.581865901,0.581048559,0.580239701,0.579381483,0.57843883,0.578381209,0.577679084,0.577258867,0.576634882,0.576256111,0.575622401,0.575342467,0.574886081,0.57467996,0.574316919,0.574337415,0.574079497,0.573968701,0.573976353,0.573797775,0.573791829,0.573849455
layer_10,0.999999995,0.993226646,0.93039371,0.86771239,0.793667322,0.72561913,0.689690938,0.668562045,0.651569446,0.638027973,0.627596083,0.618484259,0.610178804,0.604800062,0.599882628,0.595477437,0.591495132,0.588132961,0.586074371,0.583011372,0.581092595,0.578913598,0.577386253,0.575472334,0.574298606,0.572923973,0.571846356,0.570484771,0.57014615,0.568760891,0.567818243,0.566873199,0.5660851,0.565429522,0.564649713,0.564486841,0.56401728,0.563446906,0.56283993,0.562484662,0.561816486,0.561629237,0.561147206,0.560932819,0.560630181,0.560638153,0.560404646,0.560305877,0.560288379,0.56018096,0.56017146,0.56025332
layer_11,0.999999995,0.992365277,0.921012819,0.859199451,0.783423113,0.713109519,0.675516553,0.653576591,0.636301666,0.622505672,0.612104249,0.603434568,0.595470034,0.5904871,0.585542094,0.581210357,0.577896295,0.574891995,0.572547318,0.569536109,0.567627599,0.565387185,0.56412205,0.561857507,0.560899273,0.559391563,0.558483425,0.557033329,0.556684622,0.55512182,0.554267739,0.553308513,0.552345817,0.551683422,0.550814579,0.550749763,0.550218321,0.549641302,0.54909859,0.548626253,0.547966147,0.547796019,0.54728357,0.547013867,0.546717785,0.546641876,0.546277693,0.546310029,0.546332503,0.546170736,0.546164879,0.546239447
layer_12,0.999999994,0.990150526,0.91503126,0.849970374,0.77468203,0.702241143,0.665797557,0.644170046,0.626826454,0.61306301,0.602946903,0.594751093,0.587225217,0.582403652,0.577555609,0.573465298,0.570252654,0.567318276,0.56526286,0.562449398,0.560528495,0.558417706,0.55725223,0.554863921,0.553849669,0.552222703,0.551249777,0.549843149,0.549488673,0.5479355,0.547046402,0.54593107,0.544945829,0.544219609,0.543217838,0.543161115,0.542688892,0.542058498,0.541515706,0.541123039,0.540246006,0.540040175,0.539488514,0.539228709,0.538945519,0.538806804,0.538410254,0.538533318,0.538504937,0.538343433,0.538311568,0.538418558
