,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201,epoch_211,epoch_221,epoch_231,epoch_241,epoch_251,epoch_261,epoch_271,epoch_281,epoch_291,epoch_301,epoch_311,epoch_321,epoch_331,epoch_341,epoch_351,epoch_361,epoch_371,epoch_381,epoch_391,epoch_401,epoch_411,epoch_421,epoch_431,epoch_441,epoch_451,epoch_461,epoch_471,epoch_481,epoch_491,epoch_501
layer_0,0.999999995,0.997207458,0.976960726,0.951029523,0.929610055,0.913414994,0.89792504,0.885594535,0.873867206,0.862794083,0.85156312,0.841715227,0.832204292,0.823306258,0.814589603,0.806670805,0.799079536,0.791976768,0.785481635,0.779315575,0.773552875,0.76825908,0.763111718,0.758005758,0.753501941,0.749664081,0.745767585,0.742243135,0.738709497,0.735511957,0.732435373,0.729723752,0.727157964,0.724838783,0.722682904,0.720836797,0.719191786,0.717555441,0.71594493,0.714555353,0.713261731,0.712145321,0.711172711,0.710205598,0.70939785,0.708712124,0.708132478,0.707681324,0.707344658,0.707116739,0.706976593,0.706937472
layer_1,0.999999994,0.998292888,0.972288101,0.936475325,0.909980423,0.892792339,0.877710019,0.865187669,0.85306947,0.841902365,0.83093103,0.820138232,0.810227791,0.801176243,0.792209511,0.784114522,0.776163522,0.768643201,0.76195039,0.756171275,0.749996059,0.744588625,0.739367805,0.734464817,0.729898865,0.725865112,0.721774165,0.718161846,0.714631327,0.711250802,0.708424384,0.705790015,0.703093585,0.700727072,0.698567759,0.696352023,0.694557246,0.692805975,0.691233603,0.689718659,0.688413654,0.687100724,0.686088824,0.685083459,0.684285587,0.68362592,0.683021431,0.682508635,0.682147699,0.681891857,0.681736428,0.681693822
layer_2,0.999999994,0.997895305,0.965306123,0.920883959,0.890412059,0.871169024,0.85406825,0.840191063,0.827675229,0.81475381,0.802725626,0.791461073,0.780832261,0.77076151,0.760994198,0.752217154,0.744186745,0.73654722,0.729646483,0.722928354,0.717013236,0.711758917,0.706307874,0.701666511,0.69724711,0.693176707,0.688971069,0.685396043,0.681985188,0.678676082,0.675739747,0.673117078,0.670651592,0.668212688,0.665986425,0.664033143,0.662132379,0.660208669,0.658771762,0.657221152,0.655835446,0.654687548,0.653738299,0.652660619,0.651880697,0.651122108,0.650529338,0.650005699,0.649644115,0.649380502,0.649205079,0.649160275
layer_3,0.999999994,0.997173904,0.958714439,0.904802862,0.870117698,0.848370402,0.831096908,0.816137886,0.802593227,0.789631479,0.777493828,0.765690275,0.755133994,0.745201499,0.735844862,0.726842863,0.719040789,0.711589107,0.704628663,0.698070549,0.691892382,0.686754546,0.681589708,0.676729508,0.672057174,0.668321724,0.664080055,0.660753477,0.657659812,0.654272239,0.651459891,0.64887585,0.646559386,0.644303029,0.642375289,0.640413303,0.638782389,0.636903927,0.635525384,0.634106865,0.632847058,0.631680864,0.630794119,0.62973167,0.628962617,0.62836006,0.627832662,0.627301799,0.626905509,0.626648374,0.626536016,0.626517043
layer_4,0.999999994,0.996505379,0.946065017,0.882042815,0.845007155,0.82154333,0.802309591,0.786503321,0.771504564,0.758735691,0.746486659,0.735063119,0.724588122,0.71488686,0.705694228,0.697026439,0.689301899,0.681727066,0.675316928,0.66860483,0.662815395,0.658060701,0.653121681,0.648424725,0.644247925,0.640853121,0.63684762,0.633576997,0.630762325,0.62768748,0.624995109,0.622592722,0.620497742,0.618623459,0.6165734,0.614984284,0.613496892,0.611758602,0.610349067,0.609004382,0.608050585,0.606748734,0.606102924,0.605171234,0.604485502,0.603965025,0.603409242,0.603000337,0.602659389,0.602483424,0.60230252,0.602285061
layer_5,0.999999993,0.994862846,0.929952776,0.850960221,0.81107373,0.783696255,0.763289287,0.747046376,0.731459923,0.717391979,0.704511164,0.692490898,0.681405003,0.671554949,0.662456569,0.654051576,0.647011046,0.640084695,0.634304163,0.627852375,0.622757554,0.61824621,0.613961056,0.610013783,0.606216212,0.603423021,0.600069585,0.597017522,0.594679819,0.592191246,0.589813256,0.588057856,0.586048877,0.584296623,0.58258829,0.581282354,0.580179333,0.578773661,0.577814197,0.576547912,0.575812791,0.574779182,0.574202665,0.573336845,0.572736555,0.57246843,0.572024049,0.571743337,0.571392178,0.571296289,0.57114401,0.571132602
layer_6,0.999999993,0.991587563,0.910709863,0.819351655,0.777286045,0.75044427,0.729912516,0.712896409,0.698535961,0.685338192,0.67324628,0.662661058,0.653837944,0.646083231,0.639439836,0.633418198,0.627933521,0.622038056,0.617727446,0.612966165,0.609117434,0.606071382,0.603235947,0.600084849,0.597224812,0.595364003,0.592840647,0.590537945,0.589328649,0.587339014,0.585799846,0.584478173,0.582828952,0.581796372,0.580670072,0.579673789,0.579129961,0.577879275,0.577240796,0.576269366,0.575793096,0.574968607,0.57450739,0.573886101,0.573660163,0.57338065,0.573007897,0.572767706,0.572615259,0.572536979,0.57239112,0.572399196
layer_7,0.999999993,0.991429793,0.890535696,0.790957194,0.739642141,0.712736218,0.694012373,0.67814986,0.665464504,0.654426274,0.644557864,0.635795563,0.628976597,0.622521184,0.617228414,0.612542079,0.608626431,0.604340961,0.601184383,0.597423371,0.594436047,0.59261047,0.590597155,0.588092616,0.585970869,0.584781189,0.582667076,0.580844945,0.580034831,0.578514424,0.577000658,0.576189446,0.574853593,0.574047606,0.573319791,0.572546572,0.572190315,0.571134012,0.570515741,0.569575774,0.569293661,0.568776729,0.568255665,0.567646522,0.567345887,0.56711936,0.566868325,0.566675419,0.566556864,0.56650013,0.566369527,0.566381041
layer_8,0.999999993,0.990229237,0.874114111,0.77045942,0.716986095,0.689516284,0.672731217,0.657858903,0.645616642,0.635252455,0.626826297,0.619278807,0.613533875,0.60783183,0.603496636,0.599175566,0.596353419,0.592999194,0.589950012,0.586890201,0.584801101,0.582860373,0.581360466,0.578946671,0.577163005,0.576136004,0.574358633,0.572675331,0.57189571,0.570449129,0.569220773,0.568311402,0.567053536,0.566158098,0.565806394,0.564914691,0.564614363,0.56357111,0.562970797,0.562123754,0.561739398,0.561232984,0.56089366,0.560485124,0.560144063,0.559801609,0.559569477,0.559457422,0.559321873,0.559295902,0.559226278,0.5592202
layer_9,0.999999992,0.988437062,0.857700402,0.751458614,0.696778129,0.668573588,0.649298808,0.635126612,0.62451172,0.614996508,0.607416127,0.600814875,0.595631336,0.590847154,0.587480673,0.58324585,0.580911547,0.578065266,0.57529707,0.572428924,0.570515278,0.568810723,0.567296477,0.565193202,0.56354918,0.562622521,0.560959128,0.559474454,0.558931685,0.557697112,0.556568361,0.555747006,0.554875199,0.553842669,0.553429353,0.55257631,0.55242971,0.551459944,0.55066581,0.549949753,0.549658877,0.549017533,0.548689263,0.548222905,0.547829712,0.54759113,0.547447702,0.547305233,0.547248564,0.547217006,0.547206914,0.547204416
