,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201,epoch_211,epoch_221,epoch_231,epoch_241,epoch_251,epoch_261,epoch_271,epoch_281,epoch_291,epoch_301,epoch_311,epoch_321,epoch_331,epoch_341,epoch_351,epoch_361,epoch_371,epoch_381,epoch_391,epoch_401,epoch_411,epoch_421,epoch_431,epoch_441,epoch_451,epoch_461,epoch_471,epoch_481,epoch_491,epoch_501
layer_0,0.999999996,0.997601765,0.982364805,0.962709878,0.942044119,0.918418185,0.900803357,0.887313093,0.875500465,0.86428268,0.853265498,0.843547808,0.833335211,0.823352338,0.814107291,0.805388758,0.797094761,0.789255345,0.782132483,0.775083213,0.768655908,0.762814125,0.75717684,0.751546512,0.746559335,0.741794036,0.73736475,0.733281684,0.729392231,0.725983161,0.722453384,0.719000092,0.716056781,0.713503923,0.710965935,0.708469739,0.70631929,0.70431383,0.702528251,0.700911676,0.699491893,0.698084691,0.696901648,0.695671199,0.694728553,0.693891212,0.693162025,0.692628645,0.692202094,0.691904701,0.69173282,0.691683597
layer_1,0.999999996,0.998786974,0.980846016,0.958298921,0.933834017,0.90712728,0.889673635,0.876208754,0.863776158,0.852470062,0.84112637,0.83071132,0.820046683,0.810501374,0.800452461,0.791835782,0.783461324,0.775784004,0.768408959,0.761280361,0.754710429,0.748906392,0.74325846,0.737967732,0.733002901,0.728564623,0.723967892,0.719903965,0.716087038,0.712568161,0.709250776,0.706142592,0.703179566,0.700533573,0.698057332,0.695579646,0.693596949,0.691605466,0.689775171,0.688198802,0.686563036,0.685195709,0.684009777,0.682901933,0.682012844,0.681131365,0.680435848,0.679897404,0.679525635,0.679229245,0.679061553,0.67901511
layer_2,0.999999996,0.998512891,0.980143199,0.954781003,0.92407317,0.892452206,0.874604179,0.861075658,0.847196029,0.83476793,0.822322162,0.811137157,0.799449882,0.789154552,0.77940335,0.770529649,0.762449657,0.754261686,0.746946844,0.740090978,0.733401991,0.727475165,0.722222643,0.716520953,0.711934321,0.707154384,0.70290691,0.698701548,0.694990481,0.691748922,0.688414608,0.685466784,0.682515696,0.680097984,0.677806935,0.6753542,0.673285705,0.671502856,0.669844439,0.668332234,0.666825075,0.66567087,0.664507799,0.663451036,0.662655816,0.661762111,0.661152091,0.660609238,0.660257809,0.659963547,0.659792396,0.659758907
layer_3,0.999999996,0.998525274,0.977120252,0.946375282,0.909103982,0.874163721,0.854043405,0.839119846,0.825114939,0.811926517,0.799273271,0.787677636,0.77628668,0.765566465,0.755748419,0.74693899,0.738546065,0.730685332,0.723513569,0.717095827,0.710735108,0.704805086,0.69955274,0.694422303,0.689903542,0.68575019,0.682026975,0.678009867,0.674367907,0.67125021,0.668342528,0.665850381,0.663146946,0.660716878,0.658606785,0.656540972,0.65446999,0.6528369,0.65134796,0.649870762,0.648597032,0.647396387,0.646220612,0.645340021,0.644576653,0.643750741,0.643227042,0.642683156,0.642350278,0.642056216,0.641886589,0.641870064
layer_4,0.999999996,0.997021548,0.972979613,0.934940535,0.891906022,0.854063556,0.830972949,0.814096577,0.799031789,0.784530319,0.771018966,0.75892186,0.747265427,0.736957714,0.727290066,0.718669,0.710770466,0.702523196,0.695527924,0.689218166,0.683108619,0.677602046,0.672385993,0.667442274,0.663289218,0.659417479,0.655740569,0.652035672,0.648424333,0.645507392,0.642775065,0.640104312,0.6377907,0.635558174,0.63341104,0.631460952,0.62970483,0.628131472,0.626683382,0.625178747,0.624237694,0.623144105,0.622036434,0.621265754,0.620568802,0.619871296,0.619311616,0.618753038,0.618502442,0.618227121,0.618079203,0.618068185
layer_5,0.999999995,0.996590451,0.967697822,0.91811644,0.8674825,0.825895799,0.799793123,0.78196936,0.765222684,0.7495966,0.734851633,0.721950271,0.709894699,0.699397745,0.689853062,0.68086191,0.672946646,0.665138781,0.658743469,0.652798808,0.647464329,0.64272468,0.637737057,0.633961632,0.629931658,0.626475603,0.623181832,0.620154452,0.617155362,0.614260569,0.612061912,0.61007718,0.608002054,0.605921905,0.604175052,0.602826893,0.60118438,0.599869113,0.598760666,0.59753871,0.596697804,0.595766241,0.594880287,0.594167299,0.593625997,0.593034913,0.592627503,0.592228008,0.59200116,0.591760006,0.59165401,0.591664484
layer_6,0.999999995,0.996544953,0.958572377,0.903017539,0.839807157,0.794370389,0.765736399,0.744603368,0.727052601,0.712024494,0.698505486,0.68721307,0.676312726,0.667942854,0.661058455,0.653348485,0.647552734,0.64162897,0.636799257,0.632304908,0.628604099,0.625098888,0.621498496,0.618655287,0.615913202,0.613764063,0.611481035,0.609029623,0.607543193,0.605496613,0.604114533,0.602782568,0.601493564,0.599916722,0.598905048,0.598088658,0.597069784,0.596293603,0.595633205,0.594449678,0.593816659,0.593427002,0.592846823,0.592245423,0.592045223,0.591810834,0.591415683,0.59104471,0.591035766,0.59085793,0.590831408,0.59084561
layer_7,0.999999995,0.995371174,0.949555941,0.887323447,0.814903489,0.763099349,0.731413268,0.709560959,0.693046602,0.679257552,0.668205226,0.658814578,0.650413893,0.643545496,0.63741063,0.632182129,0.627883745,0.62328328,0.620413765,0.616823298,0.614281348,0.61184767,0.609551748,0.607333035,0.605176986,0.603664519,0.601964674,0.600439666,0.599321808,0.597981993,0.596897351,0.595998947,0.59510324,0.594211089,0.593490741,0.593162967,0.592407691,0.591753878,0.591141431,0.590389933,0.590031457,0.58969466,0.589204956,0.588896007,0.588811224,0.588463626,0.588383618,0.588116816,0.588106322,0.588010845,0.587953999,0.587985483
layer_8,0.999999995,0.995520381,0.940247641,0.87342075,0.79742941,0.745203802,0.713073322,0.692001551,0.675572255,0.662120262,0.651733887,0.642674926,0.634789443,0.628848942,0.623981866,0.619410686,0.615605739,0.611727259,0.608884226,0.606283803,0.604296371,0.602180463,0.600377945,0.598363304,0.596696758,0.59564217,0.594200917,0.592869023,0.592004204,0.590817722,0.58977797,0.589154581,0.588196297,0.58738892,0.58687073,0.586553659,0.585770761,0.585259969,0.584811782,0.583975788,0.583670147,0.583545518,0.583148652,0.582826948,0.582703675,0.582485926,0.582369739,0.582027787,0.582146195,0.582017867,0.582002463,0.582028007
layer_9,0.999999995,0.994915019,0.931100963,0.859673844,0.780064509,0.723697335,0.689342338,0.668073418,0.652580535,0.639739276,0.629341512,0.621607117,0.614545867,0.609246766,0.605527288,0.601314993,0.598258457,0.595005675,0.592693053,0.590857026,0.588957943,0.587345038,0.585763758,0.584218907,0.582711085,0.581971191,0.580575772,0.579360477,0.57873294,0.577429065,0.57650703,0.575983822,0.575138104,0.574406963,0.573909371,0.573647403,0.573120838,0.572379978,0.572113246,0.571427488,0.571040306,0.570956022,0.570494909,0.57030911,0.570165022,0.569839429,0.569775612,0.569528939,0.569670882,0.569532225,0.56950874,0.569549389
