,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201,epoch_211,epoch_221,epoch_231,epoch_241,epoch_251,epoch_261,epoch_271,epoch_281,epoch_291,epoch_301,epoch_311,epoch_321,epoch_331,epoch_341,epoch_351,epoch_361,epoch_371,epoch_381,epoch_391,epoch_401,epoch_411,epoch_421,epoch_431,epoch_441,epoch_451,epoch_461,epoch_471,epoch_481,epoch_491,epoch_501
layer_0,0.999999996,0.998932618,0.98220203,0.961906002,0.940832019,0.923092266,0.90736902,0.894687868,0.883192971,0.871223728,0.860033012,0.849444289,0.839336492,0.8297019,0.820498498,0.811907197,0.803590245,0.7958956,0.7885961,0.781996551,0.775916784,0.769827692,0.763901923,0.758722553,0.754091612,0.749530079,0.745249356,0.741284625,0.737530089,0.733956959,0.730556259,0.72766607,0.724596783,0.722059587,0.71951753,0.717041556,0.7148909,0.712867416,0.710968489,0.709456674,0.707862262,0.706541116,0.705299516,0.704239923,0.703317712,0.702516206,0.701881785,0.701393293,0.701012357,0.70073814,0.700580414,0.700531533
layer_1,0.999999996,0.997764774,0.980818934,0.957248334,0.933964204,0.911817298,0.896017483,0.883041988,0.870536524,0.858609757,0.847273584,0.836589531,0.82602283,0.816161149,0.806921627,0.797923491,0.789953488,0.782399726,0.774868775,0.768197698,0.762113564,0.756147248,0.750295316,0.745357908,0.740438306,0.735774273,0.731643223,0.727508612,0.723745015,0.719906093,0.716506613,0.713436715,0.710479224,0.707707699,0.705150929,0.702754732,0.700700345,0.698752224,0.696903466,0.695307168,0.693807066,0.692447086,0.691223511,0.690153628,0.689192752,0.68832931,0.687669864,0.687105181,0.686693459,0.686414719,0.686240193,0.686195063
layer_2,0.999999995,0.997025723,0.976101332,0.951155803,0.923596923,0.899446493,0.881416589,0.867098946,0.853987854,0.841514579,0.829674448,0.818258269,0.807102733,0.796976639,0.787520868,0.77844915,0.769993021,0.762025621,0.754715293,0.748280099,0.741822485,0.735784634,0.730110787,0.724855924,0.720088135,0.71514545,0.710651523,0.70654031,0.702960235,0.699541008,0.696273667,0.693210485,0.69035703,0.687838777,0.685261309,0.682891729,0.681015043,0.679176797,0.677463315,0.675881707,0.674491546,0.673118463,0.671903782,0.670882142,0.669991715,0.669150158,0.668512998,0.667977342,0.667558955,0.667282902,0.667111233,0.667070283
layer_3,0.999999995,0.9984216,0.973834291,0.943200703,0.910449232,0.882716429,0.863580108,0.847774311,0.83408475,0.82078114,0.807323148,0.795803208,0.783989734,0.774226815,0.764548587,0.755453503,0.746788997,0.739000538,0.731693483,0.72501672,0.718762032,0.713006592,0.707544188,0.702778944,0.698030678,0.693498242,0.68937647,0.685413629,0.682088222,0.678416345,0.675471433,0.67259952,0.669834824,0.667423583,0.664738635,0.66263385,0.660817685,0.658987833,0.657467355,0.655734862,0.654396002,0.65320043,0.651993823,0.651053316,0.650216626,0.6494096,0.648807263,0.648288645,0.64791868,0.647718733,0.647535151,0.647518356
layer_4,0.999999995,0.998082377,0.968359015,0.933105592,0.893301928,0.862147703,0.840833472,0.824045641,0.808863264,0.794614144,0.781070066,0.769021714,0.757420034,0.747037677,0.73713693,0.728051541,0.719447532,0.711369296,0.704022594,0.697375628,0.691118031,0.685683373,0.680255842,0.675488464,0.671271651,0.667198322,0.662966791,0.659186737,0.656550096,0.653232815,0.650476046,0.647769825,0.645244317,0.643107613,0.64070258,0.638962418,0.637108152,0.635517784,0.63406435,0.632596366,0.631456613,0.630223772,0.629121798,0.628290957,0.627690469,0.626911981,0.626469418,0.626021142,0.625683925,0.625469236,0.625316777,0.625293779
layer_5,0.999999995,0.997386593,0.959074038,0.915674553,0.868733892,0.834323626,0.81084799,0.792059238,0.775172444,0.758998062,0.74442168,0.730936838,0.718678032,0.708574225,0.698626276,0.689792776,0.681732041,0.674143822,0.667741717,0.661613298,0.656178633,0.651155804,0.646388325,0.641767763,0.637646261,0.634113351,0.630767168,0.627243199,0.624903232,0.621897055,0.619539967,0.617580885,0.615535981,0.613386897,0.611232703,0.610129101,0.608625785,0.607071071,0.606031859,0.604882785,0.603826157,0.602830051,0.60199361,0.601279302,0.600528096,0.600178708,0.599843279,0.599498634,0.599126145,0.598935457,0.598792735,0.59880586
layer_6,0.999999995,0.996678075,0.946821296,0.895524106,0.841811913,0.803750051,0.777305635,0.756661392,0.739482553,0.724216801,0.710424402,0.698355794,0.687925602,0.679276757,0.670792966,0.664053929,0.657308405,0.65107536,0.646190227,0.641319087,0.637201639,0.633755909,0.62989943,0.626654213,0.623832699,0.621293687,0.618775955,0.615921007,0.614656821,0.612157945,0.610571003,0.609039442,0.607450296,0.605975849,0.604569359,0.603741895,0.602540212,0.601707905,0.600926106,0.599827671,0.599095261,0.598349412,0.597869462,0.597523527,0.596922472,0.596518689,0.596338975,0.5960448,0.595894079,0.595719418,0.595601061,0.595623509
layer_7,0.999999994,0.993508414,0.93423314,0.876541294,0.812276473,0.768671801,0.744547544,0.724741516,0.709141799,0.6960009,0.684236299,0.674142386,0.665706554,0.658274033,0.651549658,0.646389585,0.641385976,0.63602729,0.632522126,0.62883299,0.625337722,0.622690641,0.62011669,0.617463846,0.615598269,0.613552533,0.611522128,0.609302166,0.608519084,0.606864381,0.605620625,0.604631157,0.603156275,0.602133437,0.601114648,0.600704037,0.599820644,0.599054696,0.598398697,0.597571031,0.59695016,0.596475475,0.596088632,0.595885155,0.595276386,0.595050505,0.59501251,0.594650446,0.594514321,0.594451473,0.594339077,0.594390357
layer_8,0.999999994,0.99380899,0.921150249,0.857972984,0.789292171,0.745955384,0.7226004,0.703018458,0.687469546,0.6745703,0.664364247,0.655481655,0.648001322,0.641941077,0.635884202,0.631573083,0.627222998,0.623085757,0.620142529,0.617004769,0.614177199,0.611877103,0.610280477,0.607733374,0.606253308,0.604810737,0.60302181,0.60135402,0.60073983,0.59902304,0.59813079,0.597167483,0.595963591,0.595045909,0.594259623,0.593814704,0.593015719,0.592333315,0.591923707,0.591202261,0.590668881,0.590260857,0.589844152,0.589548875,0.589103222,0.588832777,0.588751723,0.588535425,0.588426104,0.588374268,0.588249454,0.58828112
layer_9,0.999999994,0.993928651,0.910487379,0.843181584,0.767269505,0.721319283,0.694561937,0.674073453,0.658901638,0.646783366,0.637430969,0.629743792,0.622935711,0.61782754,0.613153134,0.608909499,0.60569611,0.60231222,0.599663806,0.597129584,0.594937292,0.592924435,0.591553869,0.589428784,0.58829774,0.587283985,0.58585995,0.584323863,0.584061425,0.582543668,0.581691218,0.580773322,0.579990083,0.579199848,0.578358882,0.57817954,0.577556829,0.576887462,0.576397556,0.575878972,0.575332904,0.575046099,0.574703588,0.574383452,0.574213131,0.573930818,0.573857661,0.573719708,0.573633822,0.573564607,0.573456326,0.57348888
layer_10,0.999999994,0.99258917,0.898553534,0.8291789,0.750952818,0.702611399,0.673509826,0.652156081,0.636832639,0.625407919,0.616944963,0.610198074,0.60411337,0.599620133,0.595430952,0.591916451,0.588999268,0.585960842,0.583838856,0.581411756,0.57910075,0.577531346,0.576165601,0.574363688,0.573401933,0.572351922,0.571195396,0.569717392,0.569471925,0.56798487,0.567208428,0.566320735,0.56575587,0.564789058,0.564095552,0.563897107,0.56332927,0.562625182,0.562280492,0.561554488,0.560974242,0.56076289,0.56044041,0.560143441,0.559943376,0.559706721,0.559644709,0.559572225,0.55941238,0.55933847,0.559253108,0.559293389
