,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201,epoch_211,epoch_221,epoch_231,epoch_241,epoch_251,epoch_261,epoch_271,epoch_281,epoch_291,epoch_301,epoch_311,epoch_321,epoch_331,epoch_341,epoch_351,epoch_361,epoch_371,epoch_381,epoch_391,epoch_401,epoch_411,epoch_421,epoch_431,epoch_441,epoch_451,epoch_461,epoch_471,epoch_481,epoch_491,epoch_501
layer_0,0.999999997,0.998689436,0.98356193,0.965493665,0.944638244,0.920605341,0.899813803,0.885577819,0.873330593,0.860385013,0.84804964,0.836371139,0.825026838,0.814801554,0.805135476,0.795970563,0.786822706,0.77837473,0.770454692,0.763006929,0.756256157,0.749684237,0.74363035,0.738234534,0.732799119,0.72742468,0.72277312,0.718488307,0.714290962,0.710591879,0.707093813,0.703774944,0.700694956,0.698034534,0.695348952,0.692937911,0.690672731,0.688540835,0.686591007,0.684790866,0.683253898,0.681838705,0.680430295,0.679211506,0.678279813,0.677393881,0.676722953,0.676157959,0.675711513,0.67535976,0.675175198,0.675122403
layer_1,0.999999997,0.998876761,0.982289752,0.962082997,0.939946511,0.909410376,0.88725972,0.873773284,0.861305201,0.849092437,0.837220298,0.825036473,0.813491612,0.803334619,0.793355971,0.783922611,0.775228733,0.766613646,0.758676416,0.751153997,0.74440351,0.737833801,0.731900068,0.72638353,0.721155181,0.716084228,0.71145923,0.707113055,0.703124499,0.699307019,0.695834164,0.692668701,0.689672306,0.686819478,0.684256978,0.681892966,0.679788592,0.677716287,0.675879033,0.674182156,0.672602208,0.671196419,0.669929345,0.668762294,0.667802734,0.666965509,0.666305275,0.665743958,0.665283185,0.664964877,0.664792201,0.66474034
layer_2,0.999999996,0.998744957,0.979527632,0.955714104,0.929752719,0.895717722,0.872245168,0.858609262,0.845425502,0.832263851,0.819107856,0.807320221,0.795738227,0.784575733,0.774637907,0.765250607,0.756741715,0.748030338,0.740258534,0.732680385,0.725651673,0.719232949,0.713077057,0.707680835,0.702486616,0.69766334,0.692887632,0.688474866,0.684823533,0.680820806,0.677429403,0.674244435,0.671422413,0.668719131,0.66619892,0.663898952,0.661728643,0.65986073,0.658146764,0.656552383,0.655058002,0.653783086,0.65247514,0.651380272,0.65042263,0.649537424,0.648928965,0.648388685,0.647948918,0.647626744,0.647463551,0.647407288
layer_3,0.999999996,0.998456387,0.978779831,0.951159384,0.920526855,0.881548135,0.855861612,0.840225739,0.825933058,0.812356058,0.799191723,0.786555049,0.774409512,0.763660619,0.753525432,0.744295364,0.734532568,0.726156314,0.718437768,0.710964,0.704115853,0.697757916,0.692143567,0.686423136,0.681563977,0.677054126,0.672468367,0.668443081,0.664698685,0.661240214,0.658064314,0.654993159,0.652252488,0.649600255,0.647137793,0.645042918,0.64297188,0.640987551,0.63921525,0.637739722,0.636359057,0.635098284,0.633915316,0.632935488,0.632015367,0.631274074,0.630622086,0.630179262,0.62970317,0.629370051,0.62926455,0.62921093
layer_4,0.999999996,0.996252982,0.975113457,0.943530131,0.907138228,0.864082941,0.834281647,0.817920065,0.803161233,0.788621216,0.774516013,0.762056137,0.749502086,0.738102639,0.727479551,0.71776658,0.709080763,0.700208032,0.692758054,0.685581389,0.679056162,0.673007264,0.667375072,0.661805855,0.657065768,0.652648525,0.648237989,0.644188787,0.640696639,0.637379428,0.634334816,0.631398054,0.628862009,0.626249842,0.62391021,0.622223243,0.620179137,0.61837408,0.616592078,0.615288517,0.614020958,0.612921805,0.611782746,0.610741333,0.609878092,0.609179474,0.60853276,0.608166898,0.607692848,0.607362692,0.607247621,0.607206772
layer_5,0.999999996,0.997354579,0.971995983,0.93082545,0.887457424,0.839812873,0.80795412,0.789088335,0.773052892,0.757356329,0.742345268,0.728375891,0.715518972,0.704640936,0.69448658,0.685155668,0.67636881,0.667866455,0.660551948,0.65383928,0.647237245,0.641950046,0.637024681,0.632066042,0.627933243,0.624230893,0.620091165,0.616217976,0.613581109,0.610558866,0.607809592,0.605497919,0.603309152,0.600970919,0.59918163,0.597950677,0.596160421,0.59474846,0.593210485,0.592234224,0.591116526,0.590123074,0.589201842,0.588407069,0.587612751,0.587120875,0.586667541,0.586396399,0.585995997,0.585730998,0.585680716,0.58564889
layer_6,0.999999996,0.996337044,0.963823167,0.916625096,0.866666141,0.812974149,0.77376385,0.754086198,0.737135648,0.722214279,0.708209372,0.695891666,0.685159639,0.675392827,0.666900159,0.659396462,0.652508836,0.645426427,0.639942505,0.634809771,0.629526703,0.626026544,0.622113095,0.618436527,0.61537467,0.613006798,0.609718283,0.607254649,0.605600786,0.603472498,0.601276016,0.599653189,0.598100726,0.596644508,0.595299009,0.594481976,0.593423786,0.592612189,0.59146428,0.590798051,0.589927059,0.589284044,0.588599241,0.588101634,0.587655286,0.587269961,0.586871862,0.586811717,0.586465691,0.586277072,0.586309616,0.58631574
layer_7,0.999999995,0.996252425,0.955885497,0.903614792,0.847957515,0.789443849,0.745007716,0.723076446,0.706075539,0.691531199,0.678696002,0.667189044,0.657272239,0.648892936,0.641382483,0.635325292,0.629591311,0.624092389,0.61965964,0.615272209,0.611415818,0.608951921,0.606129241,0.603304006,0.600936044,0.599117829,0.596775175,0.595216088,0.593897801,0.592701348,0.591083449,0.590071811,0.588865931,0.58789155,0.587057134,0.58658677,0.585931252,0.585375634,0.584444201,0.584021375,0.583363537,0.583102532,0.58258419,0.582274663,0.581871461,0.58169691,0.581485047,0.581562631,0.581320915,0.581118401,0.581173321,0.581208968
layer_8,0.999999995,0.995370364,0.945573409,0.889053897,0.830821611,0.77253315,0.723452956,0.702074367,0.685948877,0.672339442,0.660776047,0.650520322,0.641808971,0.634507572,0.627745821,0.622944966,0.61819052,0.613756224,0.610232519,0.606558739,0.60352368,0.601788532,0.599490966,0.597302469,0.59521066,0.593692721,0.591953747,0.590769554,0.589729729,0.588618968,0.587237156,0.58645586,0.585597652,0.584542605,0.584031647,0.583689126,0.582970061,0.582617031,0.581825907,0.581523622,0.580942782,0.580729762,0.580349789,0.580087131,0.579751752,0.579611169,0.57937537,0.579394201,0.579249989,0.579092567,0.579162895,0.579215264
layer_9,0.999999995,0.994998699,0.938293097,0.877986306,0.816792424,0.759190725,0.707473467,0.684329843,0.667281037,0.653817095,0.641564152,0.631497924,0.623024754,0.616095941,0.610386744,0.605738394,0.60153721,0.597878924,0.594738765,0.591533809,0.589003374,0.587413297,0.58587155,0.583682632,0.582124935,0.58080564,0.579457406,0.57862639,0.577848141,0.57692601,0.575794421,0.575392406,0.574659741,0.57375514,0.573287,0.573208482,0.572597886,0.57219433,0.571651665,0.571387596,0.57093281,0.570917366,0.57048398,0.570241243,0.570017317,0.569886953,0.569749642,0.569857567,0.569681367,0.569543753,0.569622949,0.569664247
