,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201
layer_0,0.56827673,0.565964095,0.548051132,0.547037743,0.546520475,0.546520971,0.546926987,0.547582701,0.548482111,0.549521042,0.550763513,0.552070556,0.553339475,0.554652456,0.556040055,0.557469814,0.558805619,0.560238831,0.561683384,0.562812704,0.563986496,0.565287675
layer_1,0.556084703,0.550820941,0.531738385,0.527529693,0.525752699,0.525574791,0.526182277,0.527070364,0.527885848,0.528501533,0.529079384,0.529763055,0.530211546,0.53056045,0.531109955,0.531481939,0.531832853,0.532047306,0.532618129,0.53254792,0.532742714,0.533193918
layer_2,0.544094044,0.531493735,0.510591267,0.503922558,0.5024798,0.502961628,0.504051197,0.504971864,0.505458742,0.505520852,0.505246722,0.505610285,0.505175766,0.504729319,0.504469041,0.504169876,0.503702123,0.503130957,0.502865368,0.502249499,0.501780137,0.501496004
layer_3,0.531710129,0.511127754,0.487520274,0.477019605,0.476326962,0.477542376,0.479192044,0.480582549,0.48112741,0.481388918,0.480971584,0.481404836,0.480796633,0.480169278,0.479921021,0.479356512,0.478719443,0.47767908,0.477285461,0.476519806,0.475915854,0.475236301
layer_4,0.519095143,0.490831061,0.465123562,0.450298308,0.450466021,0.453216836,0.4558349,0.458000201,0.459206354,0.460415228,0.460535339,0.46124467,0.460987523,0.460676718,0.460397578,0.46012041,0.459445494,0.45856642,0.458111012,0.457471027,0.456784922,0.455688895
layer_5,0.506788939,0.471845682,0.443982963,0.425931028,0.428024214,0.432598329,0.436390133,0.439392386,0.441446519,0.443637957,0.444372535,0.445685257,0.44574012,0.446051506,0.44586213,0.445612235,0.44516275,0.444387054,0.444130546,0.443305981,0.442660065,0.441412863
layer_6,0.494432702,0.454378087,0.425057237,0.405357975,0.40929731,0.414740204,0.419145833,0.422860133,0.42587533,0.428721019,0.430381818,0.432606639,0.43313247,0.43389936,0.43420727,0.434315388,0.434257821,0.43402668,0.433971075,0.433285112,0.432656788,0.431609462
layer_7,0.482579709,0.438840722,0.407840605,0.381697332,0.389466477,0.39690654,0.402594774,0.407743175,0.411948512,0.415904892,0.418474757,0.421492194,0.422379679,0.423937061,0.424738604,0.425428542,0.425737416,0.425946111,0.426332175,0.425955669,0.425584982,0.424940758
layer_8,0.471182502,0.426227791,0.391624305,0.377576636,0.39206901,0.403606471,0.41198098,0.418874501,0.424129813,0.428338305,0.431306147,0.434152063,0.435159358,0.436098326,0.436514688,0.437177871,0.43717211,0.436783277,0.437003452,0.436172653,0.435764254,0.435023406
layer_9,0.460401393,0.416639902,0.382123244,0.367769059,0.387615683,0.401829984,0.412027227,0.419650803,0.425431722,0.429334007,0.432138133,0.434520992,0.435456683,0.436191372,0.436394432,0.436644689,0.436417393,0.435872631,0.435832304,0.43490426,0.434522206,0.433685472
layer_10,0.450205557,0.409984894,0.378399102,0.361822814,0.384323455,0.398836362,0.408945553,0.415984369,0.421682019,0.425200413,0.427476049,0.429688823,0.430381852,0.430859926,0.430710419,0.430777943,0.430543412,0.429684268,0.429560484,0.428471826,0.427792855,0.426813851
layer_11,0.440837369,0.406207534,0.378427265,0.360997172,0.382874557,0.396093356,0.404774956,0.411045723,0.415113436,0.417782074,0.419130452,0.420963989,0.421235042,0.421276463,0.420945232,0.420599068,0.420082182,0.418948131,0.418572271,0.417100266,0.416256088,0.414973675
layer_12,0.431805774,0.403143397,0.378363082,0.362584161,0.38364472,0.394920911,0.401857469,0.406978853,0.409680086,0.411351037,0.411680964,0.412938358,0.412478954,0.412061151,0.411056097,0.410304978,0.409042536,0.407830602,0.407172118,0.405067697,0.404186334,0.402628352
