,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201
layer_0,0.999999987,0.999266043,0.988718023,0.969456993,0.95728586,0.945718163,0.934388688,0.923573201,0.912969893,0.902925341,0.893179655,0.884035005,0.874966239,0.866435845,0.858149347,0.8504832,0.843173122,0.836333158,0.829918791,0.82382282,0.817984574,0.812495865
layer_1,0.999999985,0.998915845,0.983747814,0.951424386,0.934388383,0.919480132,0.905367088,0.89219164,0.878733476,0.865717125,0.853485182,0.841936974,0.830675151,0.819592439,0.80951721,0.799721424,0.790688422,0.781716312,0.773931448,0.766254551,0.758888848,0.752432655
layer_2,0.999999983,0.997396678,0.976166701,0.920240065,0.897634951,0.878970718,0.861028438,0.843713922,0.827926985,0.812200956,0.797554265,0.783246337,0.77002296,0.757414668,0.745719966,0.734337955,0.724433278,0.713735262,0.704560776,0.696677594,0.688812559,0.681564897
layer_3,0.99999998,0.997011656,0.958856464,0.864229852,0.832611149,0.806395606,0.783340423,0.763052939,0.745581509,0.728398475,0.712818619,0.698283464,0.684804298,0.673276449,0.662103202,0.651331067,0.642425128,0.631985615,0.623542355,0.616819227,0.609987307,0.603051175
layer_4,0.999999977,0.995130954,0.940961323,0.810356765,0.773842034,0.744760789,0.719150569,0.69655762,0.678099303,0.660037596,0.644322488,0.629851312,0.616823425,0.606286433,0.5960246,0.585872832,0.578242195,0.568563651,0.560949673,0.555602003,0.549476551,0.543385327
layer_5,0.999999974,0.991397222,0.916748095,0.752677688,0.71470998,0.685711213,0.659178621,0.636436173,0.618333205,0.601141271,0.586550145,0.572982609,0.561499255,0.552426133,0.543199907,0.534524528,0.528509412,0.519767169,0.513432502,0.508970136,0.504073088,0.498656492
layer_6,0.99999997,0.988559187,0.885400311,0.690458425,0.652421193,0.626021226,0.601575212,0.581362174,0.566355566,0.551726494,0.540255816,0.529345276,0.520230301,0.512993712,0.50577091,0.499006974,0.494190761,0.487732933,0.48262895,0.479179385,0.475436966,0.471121976
layer_7,0.999999967,0.982979062,0.847590076,0.623676837,0.58751153,0.563690729,0.542645901,0.526643287,0.515339828,0.504536081,0.496407061,0.488761393,0.482589489,0.477380062,0.472592724,0.467811083,0.464255029,0.459897609,0.456351871,0.453673048,0.450770579,0.447583122
layer_8,0.999999963,0.977340644,0.802430631,0.576212919,0.5454448,0.526563239,0.509963546,0.498921247,0.490747277,0.483469015,0.477739875,0.472244678,0.468074134,0.46415281,0.460467825,0.457147589,0.454113228,0.45099565,0.448549335,0.445730682,0.443463193,0.44092431
layer_9,0.999999959,0.969202782,0.766952158,0.537163617,0.5086086,0.493376481,0.481299976,0.473857502,0.468010379,0.462716601,0.458609769,0.454465713,0.451199127,0.448203828,0.445343206,0.442636683,0.439899022,0.437536897,0.435227446,0.432617673,0.430752872,0.428396956
layer_10,0.999999957,0.960764096,0.732348183,0.508841992,0.482123317,0.46911322,0.459107807,0.453385012,0.448677858,0.444849988,0.441482809,0.437942625,0.435248292,0.432369104,0.42975013,0.427309698,0.424489796,0.422510018,0.420273718,0.417644935,0.415713516,0.413408492
layer_11,0.999999953,0.952292149,0.708905774,0.495984477,0.470269321,0.456897034,0.446996381,0.441387798,0.435788175,0.432147265,0.427919229,0.4243793,0.421491542,0.418420382,0.415671862,0.412884492,0.409875934,0.407874603,0.40521491,0.402374999,0.400256347,0.397779646
layer_12,0.999999949,0.942630894,0.693368088,0.489792386,0.464612014,0.450889782,0.44040443,0.434104202,0.427778996,0.423710527,0.418763426,0.41479462,0.41114149,0.407575634,0.404328934,0.401138694,0.397747326,0.395513452,0.392509418,0.38931283,0.386961813,0.384278996
